City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
306,Cascais,PT,38.6979,-9.4215,58.51,69,75,15.01,broken clouds
307,Taltal,CL,-25.4,-70.4833,64.98,65,22,4.29,few clouds
308,Esperance,AU,-33.8667,121.9,58.84,70,100,12.19,overcast clouds
309,Gladstone,AU,-23.85,151.25,75.13,88,75,5.75,broken clouds
310,Moen,NO,69.1304,18.6123,24.87,84,0,0.0,clear sky
311,Yichang,CN,30.7144,111.2847,47.26,68,0,3.51,clear sky
312,Yerofey Pavlovich,RU,53.9667,121.9667,-6.47,96,62,2.71,broken clouds
313,Zolotkovo,RU,55.5281,41.1053,42.73,97,100,11.32,overcast clouds
314,Luderitz,NA,-26.6481,15.1594,62.11,87,0,11.81,clear sky
315,Pitimbu,BR,-7.4706,-34.8086,82.99,74,59,10.85,broken clouds
316,Sisimiut,GL,66.9395,-53.6735,31.62,91,100,7.76,overcast clouds
317,Sungaipenuh,ID,-2.0833,101.3833,60.64,83,93,2.26,overcast clouds
318,Sitka,US,57.0531,-135.33,37.29,65,90,14.97,light rain
319,Dingle,PH,10.9995,122.6711,74.46,92,30,5.44,scattered clouds
320,Rabo De Peixe,PT,37.8,-25.5833,60.28,84,40,3.44,scattered clouds
321,Almeirim,BR,-1.5233,-52.5817,81.41,72,94,3.31,overcast clouds
322,Mirnyy,RU,62.5353,113.9611,-6.72,99,100,1.86,overcast clouds
323,Krasnoselkup,RU,65.7,82.4667,5.54,96,100,11.97,light snow
324,Marawi,PH,7.9986,124.2928,65.64,94,80,2.08,broken clouds
325,Riyadh,SA,24.6877,46.7219,62.74,28,0,6.15,clear sky
326,Vanavara,RU,60.34,102.2797,-19.8,100,61,2.98,broken clouds
327,Chifeng,CN,42.2683,118.9636,26.91,57,81,12.21,broken clouds
328,Puerto Escondido,MX,15.85,-97.0667,85.03,65,1,8.05,clear sky
329,Puerto Leguizamo,CO,-0.1934,-74.7819,79.47,94,100,1.66,overcast clouds
330,Nalut,LY,30.3333,10.85,49.06,26,6,9.69,clear sky
331,Constitucion,CL,-35.3333,-72.4167,62.76,66,7,19.42,clear sky
332,Yar-Sale,RU,66.8333,70.8333,0.03,97,94,8.59,overcast clouds
333,Ilhabela,BR,-23.7781,-45.3581,75.47,83,94,4.59,overcast clouds
334,Saint George,US,37.1041,-113.5841,75.67,23,1,0.0,clear sky
335,Balabac,PH,7.9868,117.0645,80.06,82,89,7.27,moderate rain
336,Bulanash,RU,57.2783,61.9965,32.02,95,100,4.23,overcast clouds
337,Zemio,CF,5.0314,25.1361,71.02,91,100,1.1,overcast clouds
338,Deutschlandsberg,AT,46.8153,15.2222,28.9,97,23,5.41,few clouds
339,Mehamn,NO,71.0357,27.8492,17.51,73,75,25.32,broken clouds
340,Kindu,CD,-2.95,25.95,70.0,99,100,1.54,light rain
341,El Sauzal,MX,31.9,-116.6833,64.42,80,0,6.85,clear sky
342,Sidi Ali,DZ,36.0998,0.4206,55.4,73,53,9.15,broken clouds
343,Inongo,CD,-1.95,18.2667,71.04,93,100,1.52,overcast clouds
344,Patterson,US,37.4716,-121.1297,68.65,35,0,7.2,clear sky
